humanSusceptibleNumber,humanExposureNumber,humanAsymptomaticNumber,humanInfectNumber,humanRecoverNumber
194.7879686,295.9622073,119.618704,239.2374081,139.2280143
193.8845321,293.4605427,119.8882826,239.7765652,141.8320102
193.8845321,293.4605427,119.8882826,239.7765652,141.8320102
193.8845321,293.4605427,119.8882826,239.7765652,141.8320102
193.8845321,293.4605427,119.8882826,239.7765652,141.8320102
193.8845321,293.4605427,119.8882826,239.7765652,141.8320102
193.051518,290.9973058,120.1287107,240.2574213,144.4179805
193.051518,290.9973058,120.1287107,240.2574213,144.4179805
193.051518,290.9973058,120.1287107,240.2574213,144.4179805
193.051518,290.9973058,120.1287107,240.2574213,144.4179805
193.051518,290.9973058,120.1287107,240.2574213,144.4179805
192.2814299,288.5774356,120.3410166,240.6820333,146.9851679
192.2814299,288.5774356,120.3410166,240.6820333,146.9851679
192.2814299,288.5774356,120.3410166,240.6820333,146.9851679
192.2814299,288.5774356,120.3410166,240.6820333,146.9851679
